TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymph_node-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.0269406571861981	-3.61411871385803	793	3	0.2	15	17775	9668,26047,25924	ZNF432,CNTNAP2,MYRIP
skin-ankle-malignant_melanoma-acral_lentiginous	skin-ankle-malignant_melanoma-acral_lentiginous	0.0316290737768587	-3.45367852515187	335	2	0.133333333333333	15	17775	217,26047	ALDH2,CNTNAP2
tibia	tibia	0.0343177117169967	-3.37209368149793	871	3	0.2	15	17775	4241,3164,54843	MFI2,NR4A1,SYTL2
lower_third	lower_third	0.0351825404702817	-3.34720532879842	8323	11	0.733333333333333	15	17775	9668,4241,3164,84969,81831,256979,1287,26047,25924,54843,2122	ZNF432,MFI2,NR4A1,TOX2,NETO2,SUN3,COL4A5,CNTNAP2,MYRIP,SYTL2,MECOM
central_nervous_system-brainstem-glioma	central_nervous_system-brainstem-glioma	0.035363702136189	-3.34206934827156	356	2	0.133333333333333	15	17775	26047,25924	CNTNAP2,MYRIP
nodular	nodular	0.036869229685918	-3.30037795966066	1561	4	0.266666666666667	15	17775	1287,25924,81831,2122	COL4A5,MYRIP,NETO2,MECOM
pleura-mesothelioma-epithelial	pleura-mesothelioma-epithelial	0.0381331093791685	-3.2666723616457	371	2	0.133333333333333	15	17775	26047,84969	CNTNAP2,TOX2
epithelial	epithelial	0.0385086304001514	-3.2568728965722	373	2	0.133333333333333	15	17775	26047,84969	CNTNAP2,TOX2
polycythaemia_vera	polycythaemia_vera	0.0388856092031462	-3.24713104016752	375	2	0.133333333333333	15	17775	25924,2122	MYRIP,MECOM
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-polycythaemia_vera	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-polycythaemia_vera	0.0388856092031462	-3.24713104016752	375	2	0.133333333333333	15	17775	25924,2122	MYRIP,MECOM
