TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.70.420	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	3156	HMGCR
3.90.780.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	4907	NT5E
3.30.1250.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	51119	SBDS
1.10.150.170	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	196074	METTL15
3.30.920.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	2395	FXN
3.90.770.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	3156	HMGCR
1.20.5.370	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	7518	XRCC4
1.10.3270.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	3156	HMGCR
3.20.20.380	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	51076	CUTC
1.20.5.320	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	5226	PGD
2.10.22.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	51232	CRIM1
4.10.1050.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	51123	ZNF706
1.10.287.440	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	471	ATIC
2.40.340.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	10243	GPHN
2.60.120.320	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	27010	TPK1
1.10.10.650	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	55133	SRBD1
2.20.170.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	8831	SYNGAP1
3.90.600.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	2618	GART
2.40.180.10	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	847	CAT
3.40.50.10240	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	27010	TPK1
3.40.140.20	-	0.0639767721265154	-2.7492351970227	1	1	0.00156494522691706	639	9988	471	ATIC
2.30.29.30	-	0.0645304624863076	-2.74061788006321	379	32	0.0500782472613459	639	9988	23092,200734,26052,7204,4647,55022,81846,55740,25977,26499,9722,10019,23683,6464,50807,2965,5962,59339,25894,90102,51466,8831,8935,9455,10087,84033,23365,114876,3667,5775,94134,8776	ARHGAP26,SPRED2,DNM3,TRIO,MYO7A,PID1,SBF2,ENAH,NECAP1,PLEK2,NOS1AP,SH2B3,PRKD3,SHC1,ASAP1,GTF2H1,RDX,PLEKHA2,PLEKHG4,PHLDB2,EVL,SYNGAP1,SKAP2,HOMER2,COL4A3BP,OBSCN,ARHGEF12,OSBPL1A,IRS1,PTPN4,ARHGAP12,MTMR1
3.30.450.40	-	0.069235266784715	-2.67024491056137	7	2	0.00312989045383412	639	9988	5138,10846	PDE2A,PDE10A
3.60.10.10	-	0.080998572100878	-2.5133237528493	26	4	0.00625978090766823	639	9988	8871,328,25819,8867	SYNJ2,APEX1,NOCT,SYNJ1
3.40.50.1910	-	0.0884973438544971	-2.42478274036219	8	2	0.00312989045383412	639	9988	11311,152579	VPS45,SCFD2
3.90.520.10	-	0.0884973438544971	-2.42478274036219	8	2	0.00312989045383412	639	9988	4088,4092	SMAD3,SMAD7
2.60.120.260	-	0.0935173128345865	-2.36960869582196	73	8	0.0125195618153365	639	9988	8924,23077,79937,23140,4240,10393,8829,728577	HERC2,MYCBP2,CNTNAP3,ZZEF1,MFGE8,ANAPC10,NRP1,CNTNAP3B
1.20.1270.60	-	0.111022029870918	-2.19802663005626	29	4	0.00625978090766823	639	9988	23647,23268,50807,6455	ARFIP2,DNMBP,ASAP1,SH3GL1
3.90.215.10	-	0.121987992741628	-2.10383265924305	30	4	0.00625978090766823	639	9988	79937,51129,728577,285	CNTNAP3,ANGPTL4,CNTNAP3B,ANGPT2
3.40.50.10540	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	79783	SUGCT
3.30.420.140	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	55133	SRBD1
1.10.1100.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	6872	TAF1
3.90.15.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7150	TOP1
3.50.80.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	92675	DTD1
2.60.40.1150	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	162	AP1B1
3.30.70.380	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	10667	FARS2
1.25.40.170	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	23034	SAMD4A
3.90.80.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	5464	PPA1
3.40.1350.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	80746	TSEN2
3.40.50.140	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7156	TOP3A
1.10.3500.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	55133	SRBD1
1.20.910.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	3163	HMOX2
1.10.460.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7156	TOP3A
3.30.420.110	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	4438	MSH4
2.170.210.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7518	XRCC4
2.40.240.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	2058	EPRS
2.70.20.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7156	TOP3A
3.40.449.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	5106	PCK2
3.90.228.20	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	5106	PCK2
2.170.11.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7150	TOP1
3.40.1160.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	5832	ALDH18A1
3.30.720.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	6727	SRP14
1.10.132.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7150	TOP1
1.10.10.41	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	7150	TOP1
3.40.1230.10	-	0.123866513051811	-2.08855080087433	2	1	0.00156494522691706	639	9988	28971	AAMDC
3.30.1370.50	-	0.130810879079909	-2.03400267002395	10	2	0.00312989045383412	639	9988	4799,5073	NFX1,PARN
4.10.70.10	-	0.132397766945928	-2.02194450158877	20	3	0.00469483568075117	639	9988	8754,203102,8728	ADAM9,ADAM32,ADAM19
1.20.920.10	-	0.137909452643684	-1.98115794944232	43	5	0.00782472613458529	639	9988	11177,23476,6872,4297,9866	BAZ1A,BRD4,TAF1,KMT2A,TRIM66
2.60.120.200	-	0.13965011685087	-1.96861514985038	93	9	0.0140845070422535	639	9988	3910,1951,79937,2195,3956,64084,728577,3911,57211	LAMA4,CELSR3,CNTNAP3,FAT1,LGALS1,CLSTN2,CNTNAP3B,LAMA5,ADGRG6
3.30.50.10	-	0.155391318625762	-1.86180870730817	57	6	0.00938967136150235	639	9988	57459,2627,7026,2649,5468,7025	GATAD2B,GATA6,NR2F2,NR6A1,PPARG,NR2F1
2.10.110.10	-	0.175866291765977	-1.73803127854186	72	7	0.0109546165884194	639	9988	166336,5829,10529,9124,7205,10611,51474	PRICKLE2,PXN,NEBL,PDLIM1,TRIP6,PDLIM5,LIMA1
3.30.530.20	-	0.17931891379487	-1.71858941706954	23	3	0.00469483568075117	639	9988	23760,26027,10087	PITPNB,ACOT11,COL4A3BP
4.10.60.10	-	0.17931891379487	-1.71858941706954	23	3	0.00469483568075117	639	9988	23089,84186,79670	PEG10,ZCCHC7,ZCCHC6
1.10.1670.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	4595	MUTYH
1.10.150.310	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	55133	SRBD1
2.60.120.310	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	5066	PAM
2.20.28.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	4175	MCM6
3.30.1360.40	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	92399	MRRF
2.170.150.20	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	253827	MSRB3
3.30.70.600	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	55173	MRPS10
2.60.120.230	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	5066	PAM
4.10.770.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	861	RUNX1
3.90.1110.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	84172	POLR1B
1.10.3730.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	5831	PYCR1
3.40.50.1380	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	471	ATIC
2.60.120.340	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	10360	NPM3
3.30.1490.40	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	26058	GIGYF2
2.40.270.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	84172	POLR1B
2.40.37.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	4953	ODC1
1.10.1160.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	2058	EPRS
3.40.710.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	2744	GLS
2.20.140.10	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	10038	PARP2
3.40.50.10380	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	4199	ME1
2.40.50.150	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	84172	POLR1B
3.20.20.60	-	0.179929931655123	-1.71518777245926	3	1	0.00156494522691706	639	9988	171425	CLYBL
3.40.50.150	-	0.200240436879091	-1.60823645008368	115	10	0.0156494522691706	639	9988	6723,8731,79823,91801,221078,24140,79828,196074,10196,57019	SRM,RNMT,CAMKMT,ALKBH8,NSUN6,FTSJ1,METTL8,METTL15,PRMT3,CIAPIN1
3.40.50.20	-	0.200379688450633	-1.60754126994496	13	2	0.00312989045383412	639	9988	2618,5095	GART,PCCA
1.10.220.10	-	0.200379688450633	-1.60754126994496	13	2	0.00312989045383412	639	9988	308,11199	ANXA5,ANXA10
3.20.20.190	-	0.21274139962061	-1.54767793716075	25	3	0.00469483568075117	639	9988	23236,56261,257068	PLCB1,GPCPD1,PLCXD2
3.30.1520.10	-	0.213920631931447	-1.54215021157786	50	5	0.00782472613458529	639	9988	9743,54899,26750,9644,92017	ARHGAP32,PXK,RPS6KC1,SH3PXD2A,SNX29
2.10.230.10	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	55466	DNAJA4
3.40.50.261	-	0.232411130818693	-1.45924736006227	4	1	0.00156494522691706	639	9988	8802	SUCLG1
