TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	2.97838478118717e-10	-21.9344697961048	379	67	0.0840652446675031	797	9988	4534,6710,27237,64787,55160,63916,53358,55715,26031,5998,5336,219790,54566,83660,7074,10817,207,51177,54443,157,26084,29,8660,55200,23007,128272,11078,57480,64097,2549,50650,64411,5922,122786,11113,2059,7006,23239,6305,55701,64759,156,55103,56899,5902,93664,29116,57669,22874,64283,116984,221178,6641,9479,5921,23150,83478,160851,23075,130271,55785,5337,9882,60312,50619,50649,23348	MTM1,SPTB,ARHGEF16,EPS8L2,ARHGEF10L,ELMO2,SHC3,DOK4,OSBPL3,RGS3,PLCG2,RTKN2,EPB41L4B,TLN2,TIAM1,FRS3,AKT1,PLEKHO1,ANLN,ADRBK2,ARHGEF26,ABR,IRS2,PLEKHG6,PLCH1,ARHGEF19,TRIOBP,PLEKHG1,EPB41L4A,GAB1,ARHGEF3,ARAP3,RASA2,FRMD6,CIT,EPS8,TEC,PHLPP1,SBF1,ARHGEF40,TNS3,ADRBK1,RALGPS2,ANKS1B,RANBP1,CADPS2,MYLIP,EPB41L5,PLEKHA6,ARHGEF28,ARAP2,SPATA13,SNTB1,MAPK8IP1,RASA1,FRMD4B,ARHGAP24,DGKH,SWAP70,PLEKHH2,FGD6,PLD1,TBC1D4,AFAP1,DEF6,ARHGEF4,DOCK9
2.60.40.150	-	3.49188458033587e-06	-12.5650689731289	146	29	0.0363864491844417	797	9988	5321,79772,827,83737,5922,5588,94121,5585,5921,54843,29,221184,23007,22841,9066,5998,9783,5336,5290,8821,80223,11059,5287,57586,5293,5330,94120,9699,57488	PLA2G4A,MCTP1,CAPN6,ITCH,RASA2,PRKCQ,SYTL4,PKN1,RASA1,SYTL2,ABR,CPNE2,PLCH1,RAB11FIP2,SYT7,RGS3,RIMS3,PLCG2,PIK3CA,INPP4B,RAB11FIP1,WWP1,PIK3C2B,SYT13,PIK3CD,PLCB2,SYTL3,RIMS2,ESYT2
1.20.900.10	-	0.000114608297112031	-9.07399035567589	71	16	0.0200752823086575	797	9988	64283,50650,221178,55701,27237,29,26084,55160,55200,128272,389337,57480,55785,7074,259173,50649	ARHGEF28,ARHGEF3,SPATA13,ARHGEF40,ARHGEF16,ABR,ARHGEF26,ARHGEF10L,PLEKHG6,ARHGEF19,ARHGEF37,PLEKHG1,FGD6,TIAM1,ALS2CL,ARHGEF4
1.10.238.10	-	0.000185033319708695	-8.5949746425697	260	38	0.0476787954830615	797	9988	10398,29957,9185,10165,794,808,79180,4925,6273,51440,5523,5358,5954,5330,6284,10125,6277,25801,30818,54885,6775,6275,801,7402,90411,83543,10627,10235,51199,4924,23007,53905,85407,6276,55012,1821,823,10938	MYL9,SLC25A24,REPS2,SLC25A13,CALB2,CALM3,EFHD2,NUCB2,S100A2,HPCAL4,PPP2R3A,PLS3,RCN1,PLCB2,S100A13,RASGRP1,S100A6,GCA,KCNIP3,TBC1D8B,STAT4,S100A4,CALM1,UTRN,MCFD2,AIF1L,MYL12A,RASGRP2,NIN,NUCB1,PLCH1,DUOX1,NKD1,S100A5,PPP2R3C,DRP2,CAPN1,EHD1
2.60.120.260	-	0.00165726081694786	-6.40258914981755	73	14	0.0175658720200753	797	9988	8506,2990,2043,51430,5045,26232,89944,2050,2041,26047,126433,780,8828,5125	CNTNAP1,GUSB,EPHA4,SUCO,FURIN,FBXO2,GLB1L2,EPHB4,EPHA1,CNTNAP2,FBXO27,DDR1,NRP2,PCSK5
3.40.720.10	-	0.00239194344733194	-6.035649085593	31	8	0.0100376411543287	797	9988	22875,2799,5167,250,22901,59084,411,55959	ENPP4,GNS,ENPP1,ALPP,ARSG,ENPP5,ARSB,SULF2
2.70.150.10	-	0.00297027476100378	-5.81910081832403	32	8	0.0100376411543287	797	9988	476,10079,10396,540,5205,148229,57205,490	ATP1A1,ATP9A,ATP8A1,ATP7B,ATP8B1,ATP8B3,ATP10D,ATP2B1
3.40.1110.10	-	0.00297027476100378	-5.81910081832403	32	8	0.0100376411543287	797	9988	476,10079,10396,540,5205,148229,57205,490	ATP1A1,ATP9A,ATP8A1,ATP7B,ATP8B1,ATP8B3,ATP10D,ATP2B1
1.10.418.10	-	0.00366501900183822	-5.60892175898078	71	13	0.0163111668757842	797	9988	10634,4008,259266,8826,23224,7402,79789,85458,22998,8407,128239,6710,5358	GAS2L1,LMO7,ASPM,IQGAP1,SYNE2,UTRN,CLMN,DIXDC1,LIMCH1,TAGLN2,IQGAP3,SPTB,PLS3
1.10.565.10	-	0.00398246601430416	-5.52585404997564	48	10	0.0125470514429109	797	9988	7068,2908,3164,7067,8013,5465,4929,5916,7181,4306	THRB,NR3C1,NR4A1,THRA,NR4A3,PPARA,NR4A2,RARG,NR2C1,NR3C2
