TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
acute_lymphoblastic_T_cell_leukaemia	acute_lymphoblastic_T_cell_leukaemia	0.123179702960038	-2.09411099015626	762	1	0.333333333333333	3	17775	256979	SUN3
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_T_cell_leukaemia	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_T_cell_leukaemia	0.123179702960038	-2.09411099015626	762	1	0.333333333333333	3	17775	256979	SUN3
autonomic_ganglia-neuroblastoma	autonomic_ganglia-neuroblastoma	0.137035302879506	-1.98751670109728	4133	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
neuroblastoma	neuroblastoma	0.137095545980717	-1.98707718031784	4134	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
autonomic_ganglia	autonomic_ganglia	0.13927104681981	-1.97133326746797	4170	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
thyroid-carcinoma-anaplastic_carcinoma	thyroid-carcinoma-anaplastic_carcinoma	0.142213645562925	-1.95042480585878	886	1	0.333333333333333	3	17775	256979	SUN3
anaplastic_carcinoma	anaplastic_carcinoma	0.142213645562925	-1.95042480585878	886	1	0.333333333333333	3	17775	256979	SUN3
stomach-adenocarcinoma	stomach-adenocarcinoma	0.145505590600317	-1.92754076973887	4272	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
prostate-carcinoma	prostate-carcinoma	0.148014822784177	-1.91044285628595	9403	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
diffuse_large_B_cell_lymphoma	diffuse_large_B_cell_lymphoma	0.150529768298676	-1.89359441834777	4353	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
oesophagus-carcinoma	oesophagus-carcinoma	0.157390839432297	-1.84902314397903	4462	2	0.666666666666667	3	17775	256979,2122	SUN3,MECOM
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	0.163669889651235	-1.80990374767955	1028	1	0.333333333333333	3	17775	5352	PLOD2
