TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.20.1290.10	-	0.000946930889083486	-6.9622844462338	3	2	0.0111731843575419	179	9988	143686,27244	SESN3,SESN1
1.10.1300.10	-	0.00593606217955066	-5.12670929818023	21	3	0.0167597765363128	179	9988	10846,5139,5142	PDE10A,PDE3A,PDE4B
3.90.1170.30	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	1890	TYMP
3.30.70.420	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	3156	HMGCR
3.90.780.10	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	4907	NT5E
3.90.770.10	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	3156	HMGCR
2.60.40.770	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	10577	NPC2
1.10.3270.10	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	3156	HMGCR
3.40.1030.10	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	1890	TYMP
2.40.180.10	-	0.017921505806956	-4.0217538455596	1	1	0.00558659217877095	179	9988	847	CAT
1.10.540.10	-	0.0218814678818762	-3.82211521584152	13	2	0.0111731843575419	179	9988	37,51	ACADVL,ACOX1
2.60.40.1180	-	0.0287752047838749	-3.54824120767059	15	2	0.0111731843575419	179	9988	2517,4125	FUCA1,MAN2B1
2.60.40.1030	-	0.0355235935676069	-3.33755819571633	2	1	0.00558659217877095	179	9988	160	AP2A1
4.10.260.20	-	0.0355235935676069	-3.33755819571633	2	1	0.00558659217877095	179	9988	64428	NARFL
1.10.620.20	-	0.0355235935676069	-3.33755819571633	2	1	0.00558659217877095	179	9988	50484	RRM2B
1.10.1140.10	-	0.0355235935676069	-3.33755819571633	2	1	0.00558659217877095	179	9988	523	ATP6V1A
3.90.228.10	-	0.0364121050200078	-3.31285400412904	17	2	0.0111731843575419	179	9988	64761,54625	PARP12,PARP14
2.30.42.10	-	0.0527516935114921	-2.94215940265804	150	6	0.0335195530726257	179	9988	6386,6641,10611,7074,113146,64798	SDCBP,SNTB1,PDLIM5,TIAM1,AHNAK2,DEPTOR
1.20.20.10	-	0.0528119249066017	-2.94101826326649	3	1	0.00558659217877095	179	9988	516	ATP5G1
1.20.120.180	-	0.0528119249066017	-2.94101826326649	3	1	0.00558659217877095	179	9988	5720	PSME1
1.20.5.120	-	0.0528119249066017	-2.94101826326649	3	1	0.00558659217877095	179	9988	5720	PSME1
4.10.770.10	-	0.0528119249066017	-2.94101826326649	3	1	0.00558659217877095	179	9988	860	RUNX2
1.10.565.10	-	0.054417351274213	-2.91107221872973	48	3	0.0167597765363128	179	9988	7026,5468,7025	NR2F2,PPARG,NR2F1
3.40.20.10	-	0.0681444368312842	-2.68612575540735	24	2	0.0111731843575419	179	9988	2934,10484	GSN,SEC23A
1.10.12.10	-	0.0697920616550669	-2.66223500555164	4	1	0.00558659217877095	179	9988	1891	ECH1
1.10.1410.20	-	0.0697920616550669	-2.66223500555164	4	1	0.00558659217877095	179	9988	4940	OAS3
3.30.310.30	-	0.0697920616550669	-2.66223500555164	4	1	0.00558659217877095	179	9988	160	AP2A1
1.10.533.10	-	0.0755107024114934	-2.58348087897866	89	4	0.0223463687150838	179	9988	8737,317,837,27242	RIPK1,APAF1,CASP4,TNFRSF21
3.50.50.60	-	0.0787671760717613	-2.54125891621091	56	3	0.0167597765363128	179	9988	54884,2232,51449	RETSAT,FDXR,PCYOX1
3.30.50.10	-	0.0820959246281665	-2.49986690287681	57	3	0.0167597765363128	179	9988	7026,5468,7025	NR2F2,PPARG,NR2F1
