TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.10.110.10	-	0.0644259176473744	-2.74223927889168	72	7	0.01417004048583	494	9988	166336,5829,10529,9124,7205,10611,51474	PRICKLE2,PXN,NEBL,PDLIM1,TRIP6,PDLIM5,LIMA1
3.90.190.10	-	0.0653921856692699	-2.72735251283727	87	8	0.0161943319838057	494	9988	7803,85464,5786,5797,5775,5782,8073,5796	PTP4A1,SSH2,PTPRA,PTPRM,PTPN4,PTPN12,PTP4A2,PTPRK
2.60.120.260	-	0.0683818617694429	-2.68264766832906	73	7	0.01417004048583	494	9988	8924,23077,8829,79937,23140,728577,4240	HERC2,MYCBP2,NRP1,CNTNAP3,ZZEF1,CNTNAP3B,MFGE8
4.10.70.10	-	0.0733747011370543	-2.61217607393172	20	3	0.00607287449392713	494	9988	8754,203102,8728	ADAM9,ADAM32,ADAM19
3.30.1370.50	-	0.0844468819149049	-2.47163255867279	10	2	0.00404858299595142	494	9988	4799,5073	NFX1,PARN
3.40.50.10540	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	79783	SUGCT
3.30.420.140	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	55133	SRBD1
1.10.1100.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	6872	TAF1
3.90.15.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	7150	TOP1
3.50.80.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	92675	DTD1
2.60.40.1150	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	162	AP1B1
3.30.70.380	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	10667	FARS2
1.25.40.170	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	23034	SAMD4A
3.40.1350.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	80746	TSEN2
1.10.3500.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	55133	SRBD1
1.20.910.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	3163	HMOX2
2.170.210.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	7518	XRCC4
2.170.11.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	7150	TOP1
3.40.1160.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	5832	ALDH18A1
1.10.132.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	7150	TOP1
1.10.10.41	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	7150	TOP1
3.40.1230.10	-	0.0964771824524269	-2.33844874986639	2	1	0.00202429149797571	494	9988	28971	AAMDC
3.30.530.20	-	0.102397657173476	-2.27889144580373	23	3	0.00607287449392713	494	9988	23760,26027,10087	PITPNB,ACOT11,COL4A3BP
2.60.40.150	-	0.10785583280122	-2.22695982507605	146	11	0.0222672064777328	494	9988	5583,90342,201294,10973,8831,23025,23286,5578,6857,23236,5551	PRKCH,FER1L5,UNC13D,ASCC3,SYNGAP1,UNC13A,WWC1,PRKCA,SYT1,PLCB1,PRF1
2.60.120.290	-	0.11298384487886	-2.18051043616417	52	5	0.0101214574898785	494	9988	114788,64866,8829,57211,23140	CSMD3,CDCP1,NRP1,ADGRG6,ZZEF1
3.20.20.190	-	0.123877398538401	-2.0884629239491	25	3	0.00607287449392713	494	9988	23236,56261,257068	PLCB1,GPCPD1,PLCXD2
1.10.220.10	-	0.132940681509406	-2.01785225393829	13	2	0.00404858299595142	494	9988	308,11199	ANXA5,ANXA10
1.10.418.10	-	0.138110781209596	-1.97969915347795	71	6	0.0121457489878543	494	9988	667,2318,23301,2317,89795,10788	DST,FLNC,EHBP1,FLNB,NAV3,IQGAP2
1.10.1670.10	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	4595	MUTYH
1.10.150.310	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	55133	SRBD1
2.60.120.310	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	5066	PAM
3.30.1360.40	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	92399	MRRF
3.30.70.580	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	126789	PUSL1
3.30.70.660	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	126789	PUSL1
2.170.150.20	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	253827	MSRB3
3.30.70.600	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	55173	MRPS10
2.60.120.230	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	5066	PAM
4.10.770.10	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	861	RUNX1
1.10.3730.10	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	5831	PYCR1
3.40.50.1380	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	471	ATIC
2.60.120.340	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	10360	NPM3
3.30.1490.40	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	26058	GIGYF2
2.40.37.10	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	4953	ODC1
3.40.710.10	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	2744	GLS
2.20.140.10	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	10038	PARP2
3.40.50.10380	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	4199	ME1
3.20.20.60	-	0.141173784883548	-1.9577636306248	3	1	0.00202429149797571	494	9988	171425	CLYBL
1.10.150.50	-	0.142458226638359	-1.94870646864672	104	8	0.0161943319838057	494	9988	1912,84456,8496,148398,22955,90678,23034,154075	PHC2,L3MBTL3,PPFIBP1,SAMD11,SCMH1,LRSAM1,SAMD4A,SAMD3
3.20.20.70	-	0.152222540974488	-1.88241174350539	42	4	0.00809716599190283	494	9988	3373,3615,210,55253	HYAL1,IMPDH2,ALAD,TYW1
1.20.920.10	-	0.161726021718011	-1.82185159944638	43	4	0.00809716599190283	494	9988	11177,23476,6872,9866	BAZ1A,BRD4,TAF1,TRIM66
1.10.506.10	-	0.16796054301119	-1.78402619019215	15	2	0.00404858299595142	494	9988	8831,10788	SYNGAP1,IQGAP2
1.20.1270.60	-	0.171003728956176	-1.76606991595598	29	3	0.00607287449392713	494	9988	23268,50807,6455	DNMBP,ASAP1,SH3GL1
4.10.900.10	-	0.171003728956176	-1.76606991595598	29	3	0.00607287449392713	494	9988	1825,1824,6934	DSC3,DSC2,TCF7L2
3.40.50.300	-	0.175646688711083	-1.7392807520786	733	42	0.0850202429149798	494	9988	57634,204,26052,6819,8886,164045,6596,5881,91351,25981,10347,783,4174,1106,79659,89795,80205,5984,4893,5983,617,1742,1244,57169,55601,127602,84083,2770,58480,1778,10973,9931,143098,1107,10124,200894,5890,8714,146754,317,1662,9653	EP400,AK2,DNM3,SULT1C2,DDX18,HFM1,HLTF,RAC3,DDX60L,DNAH1,ABCA7,CACNB2,MCM5,CHD2,DYNC2H1,NAV3,CHD9,RFC4,NRAS,RFC3,BCS1L,DLG4,ABCC2,ZNFX1,DDX60,DNAH14,ZRANB3,GNAI1,RHOU,DYNC1H1,ASCC3,HELZ,MPP7,CHD3,ARL4A,ARL13B,RAD51B,ABCC3,DNAH2,APAF1,DDX10,HS2ST1
3.40.50.170	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	2618	GART
1.20.142.10	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	10038	PARP2
3.90.1140.10	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	51008	ASCC1
3.40.532.10	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	51377	UCHL5
3.20.20.10	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	4953	ODC1
3.10.490.10	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	79094	CHAC1
3.80.30.20	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	54901	CDKAL1
3.40.50.1580	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	7378	UPP1
1.10.340.30	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	4595	MUTYH
1.20.5.520	-	0.18366353453516	-1.69464981199033	4	1	0.00202429149797571	494	9988	7114	TMSB4X
2.60.200.10	-	0.186005405659523	-1.68197954300564	16	2	0.00404858299595142	494	9988	4088,4092	SMAD3,SMAD7
3.40.390.10	-	0.203284013764422	-1.59315119516112	80	6	0.0121457489878543	494	9988	8754,203102,8728,4316,4325,4323	ADAM9,ADAM32,ADAM19,MMP7,MMP16,MMP14
2.60.40.820	-	0.204303605721973	-1.58814812816123	17	2	0.00404858299595142	494	9988	6926,23269	TBX3,MGA
4.10.260.10	-	0.204303605721973	-1.58814812816123	17	2	0.00404858299595142	494	9988	54331,2787	GNG2,GNG5
