TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.555.10	-	0.000159145132112981	-8.74569399149012	66	10	0.0266666666666667	375	9988	1123,64411,58504,57522,4983,9743,90627,29,9901,84144	CHN1,ARAP3,ARHGAP22,SRGAP1,OPHN1,ARHGAP32,STARD13,ABR,SRGAP3,SYDE2
2.30.29.30	-	0.000209231075512064	-8.47207129229241	379	29	0.0773333333333333	375	9988	6712,79674,200734,64411,10160,5922,23101,58504,4983,1894,84033,7145,8631,26084,29,10019,8660,23007,23527,50807,23263,9922,55785,84632,2887,51454,5337,23228,27128	SPTBN2,VEPH1,SPRED2,ARAP3,FARP1,RASA2,MCF2L2,ARHGAP22,OPHN1,ECT2,OBSCN,TNS1,SKAP1,ARHGEF26,ABR,SH2B3,IRS2,PLCH1,ACAP2,ASAP1,MCF2L,IQSEC1,FGD6,AFAP1L2,GRB10,GULP1,PLD1,PLCL2,CYTH4
2.60.40.150	-	0.00116085998250354	-6.75859418431139	146	14	0.0373333333333333	375	9988	8448,23007,5922,57520,57586,23228,5585,6857,23236,5330,5291,29,54843,84144	DOC2A,PLCH1,RASA2,HECW2,SYT13,PLCL2,PKN1,SYT1,PLCB1,PLCB2,PIK3CB,ABR,SYTL2,SYDE2
3.20.20.190	-	0.00207337871470118	-6.17857577301916	25	5	0.0133333333333333	375	9988	23007,23228,23236,5330,257068	PLCH1,PLCL2,PLCB1,PLCB2,PLCXD2
3.90.550.10	-	0.00322761850164062	-5.73601071968493	81	9	0.024	375	9988	2591,8893,5352,2137,2992,146712,79623,374378,152002	GALNT3,EIF2B5,PLOD2,EXTL3,GYG1,B3GNTL1,GALNT14,GALNT18,XXYLT1
1.20.900.10	-	0.00493980763166004	-5.31042888950003	71	8	0.0213333333333333	375	9988	10160,23101,23263,1894,84033,55785,29,26084	FARP1,MCF2L2,MCF2L,ECT2,OBSCN,FGD6,ABR,ARHGEF26
2.10.109.10	-	0.00802180439356113	-4.82559189568111	4	2	0.00533333333333333	375	9988	83943,196294	IMMP2L,IMMP1L
1.10.150.50	-	0.016065494933232	-4.13108147872006	104	9	0.024	375	9988	80012,64411,84456,8496,259230,2047,2113,23034,154075	PHC3,ARAP3,L3MBTL3,PPFIBP1,SGMS1,EPHB1,ETS1,SAMD4A,SAMD3
2.170.240.10	-	0.0190757958299865	-3.95933498158171	6	2	0.00533333333333333	375	9988	1287,1288	COL4A5,COL4A6
3.40.50.620	-	0.019746991480227	-3.92475412935351	42	5	0.0133333333333333	375	9988	8833,833,89978,349565,440	GMPS,CARS,DPH6,NMNAT3,ASNS
