TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr8q13.3	human chr8q13.3	0.999999999910247	-8.97534258627603e-11	10	0	0	15	26250
human chr9p21.2	human chr9p21.2	0.999999999910247	-8.97534258627603e-11	10	0	0	15	26250
human chr5q23.3	human chr5q23.3	0.999999999910247	-8.97534258627603e-11	10	0	0	15	26250
human chr11q24.3	human chr11q24.3	0.999999999910247	-8.97534258627603e-11	10	0	0	15	26250
human chrYp11.2	human chrYp11.2	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr10q26.13	human chr10q26.13	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr15q26.3	human chr15q26.3	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr20q11.23	human chr20q11.23	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr11p15	human chr11p15	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr1p36.22	human chr1p36.22	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr9q32	human chr9q32	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr6p21.33	human chr6p21.33	0.999999999915908	-8.40918746113477e-11	35	0	0	15	26250
human chr6q27	human chr6q27	0.999999999920559	-7.94414046297574e-11	48	0	0	15	26250
human chrXq24	human chrXq24	0.999999999920559	-7.94414046297574e-11	48	0	0	15	26250
human chr2q37.1	human chr2q37.1	0.999999999920559	-7.94414046297574e-11	48	0	0	15	26250
human chr16q24.3	human chr16q24.3	0.999999999920559	-7.94414046297574e-11	48	0	0	15	26250
human chr1q21.1	human chr1q21.1	0.999999999920559	-7.94414046297574e-11	48	0	0	15	26250
human chr12q13.3	human chr12q13.3	0.999999999920559	-7.94414046297574e-11	48	0	0	15	26250
human chr17q11.2	human chr17q11.2	0.999999999929201	-7.07993307864447e-11	93	0	0	15	26250
human chr6p22.3	human chr6p22.3	0.999999999931118	-6.88816418980688e-11	26	0	0	15	26250
human chr15q24.2	human chr15q24.2	0.999999999931118	-6.88816418980688e-11	26	0	0	15	26250
human chr15q25.1	human chr15q25.1	0.999999999931118	-6.88816418980688e-11	26	0	0	15	26250
human chr1q24.2	human chr1q24.2	0.999999999931118	-6.88816418980688e-11	26	0	0	15	26250
human chrXq22.3	human chrXq22.3	0.999999999931118	-6.88816418980688e-11	26	0	0	15	26250
human chr11q23	human chr11q23	0.999999999931118	-6.88816418980688e-11	26	0	0	15	26250
human chr20p11.21	human chr20p11.21	0.999999999931118	-6.88816418980688e-11	26	0	0	15	26250
